Timestamp,Apa yang dimaksud dengan Demam Berdarah Dengue (DBD)? ,Apa gejala utama Demam Berdarah Dengue (DBD)! ,Apa penyebab utama penyakit Demam Berdarah Dengue?,Bagaimana cara penularan penyakit DBD terjadi? ,Apa solusi untuk meningkatkan kepedulian masyarakat terhadap pencegahan DBD? 
07/06/2025 22:05:54,Dbd adalah penyakit yang disebabkan oleh nyamuk,"Gejala panas, pusing, mual",Penyebab nyamuk jenis culex,"Bekas alat makan, air liur, darah",Yg dilakukan untuk menghindari dgn menyemprotkan obat anti nyamuk
07/06/2025 22:11:21,AedDBD adalah penyakit menular yang disebabkan nyamuk Aedes Aegypti,Demam,Penularan virus dari nyamuk Aedes Aegypti,Melalui nyamuk Aedes Aegypti,Menutup tempat yang memungkinkan nyamuk dalat berkembang biak serta membersihkan bak mandi satu minggu sekali 
07/06/2025 22:13:35,penyakit infeksi yang disebabkan oleh virus dengue dan ditularkan melalui gigitan nyamuk Aedes Aegypti,"demam tinggi secara mendadak hingga mencapai suhu di atas 38 derajat celsius.  Artikel ini dibuat dan diterbitkan oleh Siloam Hospitals, baca selengkapnya di: *https://www.siloamhospitals.com/informasi-siloam/artikel/tanda-dan-gejala-dbd-berat-yang-harus-dikenali*  Dapatkan informasi atau layanan kesehatan terkini Siloam Hospitals di: *Instagram*: https://instagram.com/siloamhospitals/ *Contact Center*: (021)1-500-181 *Siloam-At-Home*: https://wa.me/628111950181  Download aplikasi MySiloam untuk kemudahan pelayanan kesehatan Anda: *IOS*: https://apple.co/3PYwuZK *Android*: https://bit.ly/SiloamPS",gigitan nyamuk Aedes aegypti yang telah terinfeksi virus dengue,"Demam berdarah dengue (DBD) ditularkan melalui gigitan nyamuk Aedes aegypti yang terinfeksi virus dengue. Nyamuk ini akan terinfeksi setelah menggigit orang yang sudah terkena DBD, kemudian virus tersebut akan ditularkan ke orang lain saat nyamuk menggigit. ","beberapa solusi yang dapat diterapkan adalah edukasi yang intensif, melibatkan tokoh masyarakat, dan menciptakan gerakan bersama seperti 3M Plus (Menguras, Menutup, dan Mengubur) serta gerakan 1 Rumah 1 Jumantik (G1R1J). "
07/06/2025 22:16:47,badan sakit panas,suhu tubuh tinggi,aedes aegypti,melalui nyamuk,bersih2
07/06/2025 22:22:17,penyakit infeksi yang disebabkan oleh virus dengue dan ditularkan melalui gigitan nyamuk Aedes aegypti atau Aedes albopictus,"Demam tinggi mendadak, biasanya mencapai sekitar 40°C, yang berlangsung 2-7 hari dan bisa turun naik (demam bifasik)  Sakit kepala hebat, terutama di bagian belakang mata  Nyeri otot dan sendi yang parah, sering disebut nyeri tulang  Ruam merah di kulit yang muncul setelah demam mulai mereda  Mual dan muntah  Pendarahan ringan seperti mimisan, gusi berdarah, atau bintik merah di kulit (petekie)  Nyeri perut, yang bisa menjadi tanda komplikasi lebih serius",infeksi virus dengue yang ditularkan kepada manusia melalui gigitan nyamuk betina Aedes aegypti dan Aedes albopictus yang sudah terinfeksi virus tersebut,melalui gigitan nyamuk betina Aedes aegypti yang sudah terinfeksi virus dengue. ,menerapkan hidup bersih
07/06/2025 22:23:30,penyakit infeksi yang disebabkan oleh virus dengue dan ditularkan kepada manusia melalui gigitan nyamuk Aedes aegypti,"demam, sakit kepala, nyeri otot dan sendi, mual muntah, ruam kulit, trombosit rendah",infeksi virus dengue dari gigitan nyamuk aedes aegypti , melalui gigitan nyamuk Aedes betina yang sebelumnya telah menggigit orang yang terinfeksi virus dengue.,"menghindari gigitan nyamuk dengan obat nyamuk atau pakaian tertutup, memberantas tempat perkembangbiakan nyamuk, fogging "
07/06/2025 22:45:47,Penyakit yang ditularkan oleh nyamuk Aedes,Panas tinggi & berkepanjangan,Gigitan yang ditularkan nyamuk Aedes,Nyamuk Aedes menggigit korban lain,"Rutin lakukan 3M, dilakukan sosialisasi rutin terkait DBD dsb, dilakukan penyemprotan rutin terutama saat musim hujan"
08/06/2025 04:13:46,Penyakit yang disebabkan oleh nyamuk Aides Aegypti,Demam,Nyamuk Aides aegypti,Dari nyamuk,melakukan 3m
08/06/2025 04:16:09,Penyakit menular yang berbahaya,tipes,nyamuk ,kurang tahu,membersihkan genangan-genangan air hujan
08/06/2025 04:19:09,penyakit infeksi yang disebabkan oleh virus dengue yang ditularkan melalui gigitan nyamuk Aedes aegypti,"demam tinggi, nyeri otot dan sendi, sakit kepala, dan ruam",infeksi virus dengue yang ditularkan melalui gigitan nyamuk Aedes aegypti,"ditularkan melalui gigitan nyamuk Aedes aegypti, yang mana nyamuk tersebut sebelumnya telah menggigit orang yang terinfeksi virus.","Meningkatkan kepedulian masyarakat terhadap pencegahan DBD dapat dilakukan melalui edukasi dan sosialisasi rutin, pelibatan tokoh masyarakat, gerakan PSN (Pemberantasan Sarang Nyamuk) terpadu, pengaktifan Jumantik, serta pemanfaatan teknologi."
08/06/2025 04:55:58,dbd adalah penyakit menular yang disebabkan oleh nyamuk aedesn aegypti,demam dan lemas,nyamuk aedes,dari nyamuk yang sebelumnya menyedot darah orang yang terkena dbd,menyadarkan masyarakat bahwasanya dbd bukan penyakit remeh dan banyak menimbulkan korban
08/06/2025 05:03:46,Demam Berdarah Dengue (DBD) adalah penyakit infeksi yang disebabkan oleh virus Dengue dan ditularkan melalui gigitan nyamuk Aedes aegypti atau Aedes albopictus. Penyakit ini memiliki gejala utama demam tinggi mendadak.,Gejala utama Demam Berdarah Dengue (DBD) adalah demam tinggi mendadak yang terus-menerus dan tidak turun-turun.,Penyebab utama penyakit Demam Berdarah Dengue (DBD) adalah infeksi virus Dengue yang ditularkan melalui gigitan nyamuk Aedes aegypti.,Penularan penyakit Demam Berdarah Dengue (DBD) terjadi melalui gigitan nyamuk Aedes aegypti yang sudah terinfeksi virus Dengue.,"Solusi untuk meningkatkan kepedulian masyarakat terhadap pencegahan DBD meliputi edukasi yang masif dan kreatif, pemberdayaan komunitas melalui Jumantik, serta pemanfaatan teknologi untuk informasi dan pengingat."
08/06/2025 05:04:45,"Demam Berdarah Dengue (DBD) adalah penyakit serius yang disebabkan oleh salah satu dari empat jenis virus Dengue. Penularannya terjadi ketika nyamuk Aedes aegypti (nyamuk rumah) atau Aedes albopictus (nyamuk hutan/kebun) yang terinfeksi menggigit manusia. Gejala khasnya meliputi demam tinggi mendadak, nyeri otot dan sendi, serta kemungkinan ruam kulit.",Gejala utama DBD adalah demam tinggi mendadak (bisa mencapai 40  ∘  C atau lebih) yang berlangsung 2-7 hari. ,"Penyakit Demam Berdarah Dengue (DBD) disebabkan oleh virus Dengue, yang merupakan bagian dari kelompok Flavivirus. Virus ini ditularkan ke manusia melalui gigitan nyamuk betina dari spesies ** Aedes aegypti**. Terkadang, nyamuk Aedes albopictus juga dapat menjadi vektor penularan, meskipun Aedes aegypti adalah yang utama.","Penularan DBD dimulai ketika nyamuk Aedes aegypti (atau kadang Aedes albopictus) betina menggigit seseorang yang sedang terinfeksi virus Dengue. Setelah itu, virus akan bereplikasi dalam tubuh nyamuk. Ketika nyamuk yang sudah terinfeksi ini menggigit orang lain yang sehat, virus Dengue akan masuk ke dalam aliran darah orang tersebut, sehingga menyebabkan infeksi dan timbulnya gejala DBD.","Demam Berdarah Dengue (DBD) adalah penyakit infeksi virus Dengue yang ditularkan melalui gigitan nyamuk Aedes aegypti, dengan gejala utama demam tinggi mendadak dan nyeri otot/sendi, di mana penularannya terjadi dari orang sakit ke nyamuk lalu ke orang sehat, dan solusinya untuk meningkatkan kepedulian masyarakat adalah melalui edukasi masif, pemberdayaan komunitas, serta pemanfaatan teknologi."
08/06/2025 05:35:33,penyakit yang disebabkan oleh nyamuk aides aigepti,"deman, flu, pilek, dll",nyamuk aides aigepti,gatau,memberitahukan kepada masyarakat bahwa penyakit dbd sangat berbahaya
08/06/2025 05:40:01,"Demam Berdarah Dengue (DBD) adalah penyakit yang disebabkan oleh infeksi virus dengue, yang ditularkan kepada manusia melalui gigitan nyamuk Aedes aegypti (dan kadang Aedes albopictus). Penyakit ini umum terjadi di daerah tropis dan subtropis, termasuk Indonesia.","Gejala utama Demam Berdarah Dengue (DBD) meliputi demam tinggi mendadak, sakit kepala hebat (terutama di belakang mata), nyeri otot dan sendi, mual, muntah, ruam kulit, nyeri perut, serta penurunan trombosit yang dapat menyebabkan perdarahan seperti mimisan, gusi berdarah, dan bintik merah pada kulit.",Penyebab utama penyakit Demam Berdarah Dengue (DBD) adalah infeksi virus dengue yang ditularkan kepada manusia melalui gigitan nyamuk Aedes aegypti yang terinfeksi.,Cara penularan penyakit DBD terjadi melalui gigitan nyamuk Aedes aegypti betina yang membawa virus dengue setelah sebelumnya menggigit orang yang terinfeksi virus tersebut.,"Solusi untuk meningkatkan kepedulian masyarakat terhadap pencegahan DBD adalah dengan mengadakan edukasi dan sosialisasi rutin melalui media massa, sekolah, dan komunitas, melibatkan partisipasi aktif warga dalam kegiatan 3M (menguras, menutup, dan mendaur ulang), serta membentuk kader jumantik (juru pemantau jentik) di lingkungan tempat tinggal."
08/06/2025 05:53:02,penyakit yang disebabkan oleh virus dengue yang ditularkan melalui gigitan nyamuk Aedes aegypti yang terinfeksi,ada bintik merah pada tubuh dan mudah lelah,virus dengue yang ditularkan melalui gigitan nyamuk Aedes aegypti,melalui gigitan nyamuk spesies Aedes yang terinfeksi. ,penyuluhan untuk dilakukan vogging
08/06/2025 06:53:36,penyakit yang disebabkan oleh virus dengue dan ditularkan lewat gigitan nyamuk aedes aegypti,demam tinggi ,menurunnya imunitas yang menyebabkan rawannya terkena DBD dengan keadaan lingkungan yang lembab dan cuaca hujan mempercepat petumbuhan dan perkembangan nyamuk serta lingkungan yang kurang bersih.,"lewat gigitan nyamuk, terutama pada pagi dan sore hari","- menghindari gigitan nyamuk (menggunakan obat nyamuk seperti lotion dls, tidak membiarkan baju banyak tergantung di gantungan baju)
- program 3M (Menguras, Menutup dan mendaur ulang tempat penampungan air)
- Fogging di daerah endemis"
08/06/2025 07:32:47,"Demam Berdarah Dengue (DBD) adalah penyakit infeksi akibat virus dengue yang ditularkan oleh nyamuk Aedes aegypti, ditandai dengan demam tinggi, penurunan trombosit, dan dapat menyebabkan perdarahan serius.","Demam Berdarah Dengue ditandai oleh gejala seperti demam tinggi, nyeri di belakang mata, tubuh lemas, bintik merah di kulit, dan perdarahan ringan seperti mimisan atau gusi berdarah.",Penyebab utama penyakit Demam Berdarah Dengue adalah virus dengue yang ditularkan melalui gigitan nyamuk Aedes aegypti yang terinfeksi.,"Penyakit DBD menular ketika nyamuk Aedes aegypti menggigit seseorang yang sudah terinfeksi virus dengue, lalu menularkannya kepada orang lain melalui gigitan berikutnya.","Solusi lainnya adalah melibatkan masyarakat secara langsung dalam kegiatan pencegahan, seperti kerja bakti rutin, pelatihan kader jumantik, dan pemberian penghargaan bagi lingkungan yang berhasil menjaga wilayahnya bebas dari jentik nyamuk."
08/06/2025 07:32:52,"DBD adalah penyakit tropis yang disebabkan oleh virus dengue dan menyebar melalui gigitan nyamuk, dengan gejala utama seperti demam mendadak, nyeri tubuh, dan risiko komplikasi serius jika tidak segera ditangani.","Gejala utama DBD adalah demam tinggi mendadak, sakit kepala hebat, nyeri otot dan sendi, mual, muntah, ruam kulit, serta penurunan trombosit yang dapat menyebabkan perdarahan.","DBD disebabkan oleh infeksi virus dengue yang masuk ke dalam tubuh manusia melalui gigitan nyamuk pembawa virus, terutama nyamuk Aedes aegypti.","Penularan DBD terjadi melalui gigitan nyamuk Aedes yang telah membawa virus dengue dari darah orang yang terinfeksi, kemudian menyebarkannya ke orang sehat saat menggigit.","Meningkatkan kepedulian masyarakat dapat dilakukan melalui edukasi berkelanjutan tentang bahaya DBD dan pentingnya menjaga kebersihan lingkungan dengan cara 3M (menguras, menutup, dan mendaur ulang tempat penampungan air)."
08/06/2025 07:35:13,penyakit virus yang disebabkan oleh virus,timbul ruam merah dibadan,karena gigitan nyamuk,digigt nyamuk yang lain,didenda kalau tidak menjaga kebersihan
08/06/2025 07:57:01,Itu adalah penyakit yang berbahaya ,Sakit panas yang tinggi ,Panas Yang tinggi ,Dari nyamuk yang berwarna garis gatis,Melakukan pemberitahuan door to door sekaligus memberikan brosur nya
08/06/2025 09:54:45,Penyakit yang disebabkan oleh gigitan nyamuk aedes aegypti,"Suhu tubuh tinggi ekstrem selama beberapa hari, muncul bintik bintik merah",Virus dengue,Gigitan nyamuk aedes aegypti,"Sosialisasi langsung ke masyarakat melalui rt/rw, menyebarkan informasi melalui tv atau sosial media"
08/06/2025 10:25:14,Demam yang di sebabkan oleh gigitan nyamuk aedes aegypti ,"Panas tinggi, muncul bintik merah, trombosit turun",Nyamuk aedes aegypti,Melalui gigitan nyamuk yang membawa virus dengue,Jagalah kebersihan tempat tinggalmu 
